OPEID - Price,OPEID - 300,Name,NetPrice,DefRate,ProgramLength,CollegeType,Defaults,Loans
702200,7022,CUNY Lehman College,6159,6.6,8,1,113,1707
4242100,42421,University of North Texas at Dallas,6912,7.3,8,1,1267,17303
114100,1141,California State University-Dominguez Hills,3297,7.6,8,1,260,3377
261300,2613,New Jersey City University,11854,9.3,8,1,208,2236
151200,1512,Palm Beach State College,4134,13.2,6,1,297,2238
242400,2424,Mississippi Valley State University,11591,18.9,8,1,179,943
1146200,11462,University of Alaska Anchorage,11860,12.2,8,1,348,2847
359900,3599,The University of Texas Rio Grande Valley,4432,6.9,8,1,267,3833
113700,1137,California State University-Fullerton,8170,3.9,8,1,230,5872
195000,1950,Wichita State University,14175,7.4,8,1,249,3353
